SUPLIER & ITEMS ,UNIT ,PRICE ,UNIT ,PRICE ,,Monday Thunder Stock,Min Home Stock,Order Amount,,,,
Caramel Crunch Topping 700g,0.07, MYR 17.90 ,, MYR 255.71 ,,,,,,,,
Tatura Cream Cheese 500g,KG, MYR 38.40 ,,,,,,,,,,
Pandan Kaya,KG, MYR 8.90 ,,,,,,,,,,
Japan Low Protien Flour,KG, MYR 7.60 ,,,,,,,,,,
Cookies Flour,KG, MYR 4.40 ,,,,,,,,,,
Peanut Spread,KG, MYR 11.50 ,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Exclusivitea,,,,,,,,,,,,
Camomile Tea ,box,28.5,pcs,1.9,,,,,,,,
English B tea ,box,28.5,pcs,1.9,,,,,,,,
Earl Gray Tea ,box,28.5,pcs,1.9,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Lotus,,,,,,,,,,,,
Blackberries (frozen 500g),KG, MYR 23.00 ,,,,500g,1kg,2kg,,,,
Blueberries (frozen 500g),KG, MYR 26.40 ,,,,500g,1kg,2kg,,,,
Self Raising Flour,KG, MYR 6.00 ,,,,,,,,,,
Raw Sugar (granulated brown),KG, MYR 5.05 ,,,,,,,,,,
Rice Bran Olive Oil,LTR, MYR 15.30 ,,,,,,,,,,
,,,,,,,,,,,,
Shopee,,,,,,,,,,,,
Red Jubes,KG, MYR 32.93 ,,,,,,,,,,
GF SR Flour,KG, MYR 29.04 ,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Modern Store ,,,,,,,,,,,,
Cardamom ,kg , MYR 170.00 ,gm, MYR 0.17 ,,,,,,,,
Glove,Kg , MYR 30.00 ,gm, MYR 0.03 ,,,,,,,,
BOH Tea ,kg , MYR 29.60 ,gm, MYR 0.03 ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TMC,,,,,,,,,,,,
Mighty White Long Sandwich Bread 550g,Loaf, MYR 4.40 ,, MYR 0.63 ,,,,,,,,
