Menu Item,Ingredients,Quantity,Unit,Cost Price (MYR),Total Price (MYR),Notes
,,,,COGS %,57%,
,,,,Profit,MYR 3.20,
,,,,,,
Muesli Bar,Muesli Bar,1,pc,2.00,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 4.50,
,,,,COGS %,56%,
,,,,Profit,MYR 2.00,
,,,,,,
Protein Ball,Protein Ball,1,pc,2.20,2.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.70,
,,,,Sale,MYR 5.00,
,,,,COGS %,54%,
,,,,Profit,MYR 2.30,
,,,,,,
Fruit Cup (Small),Mixed Fresh Fruit,150,gm,0.02,3.00,
,Container,1,pc,0.50,0.50,
,,,,Cost,MYR 3.50,
,,,,Sale,MYR 6.00,
,,,,COGS %,58%,
,,,,Profit,MYR 2.50,
,,,,,,
Hard Boiled Egg (2 pcs),Egg,2,pc,0.53,1.06,
,Salt,1,gm,0.01,0.01,
,Pepper,1,gm,0.08,0.08,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 1.65,
,,,,Sale,MYR 4.00,
,,,,COGS %,41%,
,,,,Profit,MYR 2.35,
,,,,,,
Cheese & Crackers,Cheddar Cheese,40,gm,0.05,2.00,
,Crackers,6,pieces,0.25,1.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.00,
,,,,Sale,MYR 6.50,
,,,,COGS %,62%,
,,,,Profit,MYR 2.50,
,,,,,,
Hummus & Veggie Sticks,Hummus,50,gm,0.05,2.50,
,Carrot Sticks,50,gm,0.00,0.20,
,Cucumber Sticks,50,gm,0.01,0.35,
,Celery Sticks,30,gm,0.01,0.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.75,
,,,,Sale,MYR 6.50,
,,,,COGS %,58%,
,,,,Profit,MYR 2.75,
,,,,,,
Curry Puff (1 pc),Curry Puff,1,pc,2.00,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 4.50,
,,,,COGS %,56%,
,,,,Profit,MYR 2.00,
,,,,,,
Curry Puff (2 pcs),Curry Puff,2,pc,2.00,4.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.50,
,,,,Sale,MYR 7.00,
,,,,COGS %,64%,
,,,,Profit,MYR 2.50,
,,,,,,
Egg Tart,Egg Tart,1,pc,2.00,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 4.50,
,,,,COGS %,56%,
,,,,Profit,MYR 2.00,
,,,,,,
Pandan Kaya Cake Slice,Pandan Kaya Cake,1,slice,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 5.50,
,,,,COGS %,55%,
,,,,Profit,MYR 2.50,
,,,,,,
Burnt Cheesecake Slice,Burnt Cheesecake,1,slice,4.00,4.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.50,
,,,,Sale,MYR 8.50,
,,,,COGS %,53%,
,,,,Profit,MYR 4.00,
,,,,,,
